Query,Subject,Percent Identity,Alignment Length,E-value,Bit Score
testseq,gi|3025555835|emb|OZ125602.1|,100.0,43,3e-11,341933
testseq,gi|3025555835|emb|OZ125602.1|,100.0,43,3e-11,341933
testseq,gi|3025555835|emb|OZ125602.1|,100.0,43,3e-11,341933
testseq,gi|3025555835|emb|OZ125602.1|,100.0,43,3e-11,341933
testseq,gi|3025555835|emb|OZ125602.1|,100.0,43,3e-11,341933
testseq,gi|3025555835|emb|OZ125602.1|,100.0,43,3e-11,341933
testseq,gi|3025555835|emb|OZ125602.1|,100.0,43,3e-11,341933
testseq,gi|3025555835|emb|OZ125602.1|,100.0,43,3e-11,341933
testseq,gi|2997529117|dbj|AP038851.1|,100.0,45,2.32e-12,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
testseq,gi|2997529117|dbj|AP038851.1|,100.0,43,3e-11,142759
